community,species,compound,flux,smetana
comp_24,Streptomyces_griseoruber_NRRL_B_1818,mal__L,1,0.015
comp_24,Arenimonas_oryziterrae_DSM_21050_YC6267,mal__L,-1,-0.015
comp_24,Streptomyces_griseoruber_NRRL_B_1818,nh4,1,0.025
comp_24,Arenimonas_oryziterrae_DSM_21050_YC6267,nh4,-1,-0.025
comp_24,Streptomyces_griseoruber_NRRL_B_1818,orn,1,0.45
comp_24,Arenimonas_oryziterrae_DSM_21050_YC6267,orn,-1,-0.45
comp_24,Streptomyces_griseoruber_NRRL_B_1818,pnto__R,1,0.5
comp_24,Arenimonas_oryziterrae_DSM_21050_YC6267,pnto__R,-1,-0.5
comp_24,Lysobacter_dokdonensis_DS_58,arg__L,1,0.0238095238095238
comp_24,Lacunisphaera_limnophila_IG16b,arg__L,-1,-0.0238095238095238
comp_24,Lysobacter_dokdonensis_DS_58,glu__L,1,0.04761904761904761
comp_24,Lacunisphaera_limnophila_IG16b,glu__L,-1,-0.04761904761904761
comp_24,Lysobacter_dokdonensis_DS_58,glyc,1,0.4047619047619048
comp_24,Lacunisphaera_limnophila_IG16b,glyc,-1,-0.4047619047619048
comp_24,Lysobacter_dokdonensis_DS_58,h2s,1,0.0238095238095238
comp_24,Lacunisphaera_limnophila_IG16b,h2s,-1,-0.0238095238095238
comp_24,Lysobacter_dokdonensis_DS_58,nh4,1,0.42857142857142855
comp_24,Lacunisphaera_limnophila_IG16b,nh4,-1,-0.42857142857142855
comp_24,Streptomyces_griseoruber_NRRL_B_1818,ade,1,0.04761904761904761
comp_24,Lacunisphaera_limnophila_IG16b,ade,-1,-0.04761904761904761
comp_24,Streptomyces_griseoruber_NRRL_B_1818,arg__L,1,0.0238095238095238
comp_24,Lacunisphaera_limnophila_IG16b,arg__L,-1,-0.0238095238095238
comp_24,Streptomyces_griseoruber_NRRL_B_1818,fum,1,0.0238095238095238
comp_24,Lacunisphaera_limnophila_IG16b,fum,-1,-0.0238095238095238
comp_24,Streptomyces_griseoruber_NRRL_B_1818,glcur,1,0.04761904761904761
comp_24,Lacunisphaera_limnophila_IG16b,glcur,-1,-0.04761904761904761
comp_24,Streptomyces_griseoruber_NRRL_B_1818,glu__L,1,0.04761904761904761
comp_24,Lacunisphaera_limnophila_IG16b,glu__L,-1,-0.04761904761904761
comp_24,Streptomyces_griseoruber_NRRL_B_1818,glyc,1,0.4047619047619048
comp_24,Lacunisphaera_limnophila_IG16b,glyc,-1,-0.4047619047619048
comp_24,Streptomyces_griseoruber_NRRL_B_1818,h2s,1,0.0238095238095238
comp_24,Lacunisphaera_limnophila_IG16b,h2s,-1,-0.0238095238095238
comp_24,Streptomyces_griseoruber_NRRL_B_1818,nh4,1,0.42857142857142855
comp_24,Lacunisphaera_limnophila_IG16b,nh4,-1,-0.42857142857142855
comp_24,Streptomyces_griseoruber_NRRL_B_1818,pyr,1,0.0238095238095238
comp_24,Lacunisphaera_limnophila_IG16b,pyr,-1,-0.0238095238095238
comp_24,Streptomyces_griseoruber_NRRL_B_1818,rib__D,1,0.0238095238095238
comp_24,Lacunisphaera_limnophila_IG16b,rib__D,-1,-0.0238095238095238
comp_24,Steroidobacter_denitrificans_DSM_18526,h2s,1,0.04761904761904761
comp_24,Lacunisphaera_limnophila_IG16b,h2s,-1,-0.04761904761904761
comp_24,Steroidobacter_denitrificans_DSM_18526,nh4,1,0.8571428571428571
comp_24,Lacunisphaera_limnophila_IG16b,nh4,-1,-0.8571428571428571
comp_24,Streptomyces_griseoruber_NRRL_B_1818,glc__D,1,0.5
comp_24,Lysobacter_dokdonensis_DS_58,glc__D,-1,-0.5
comp_24,Streptomyces_griseoruber_NRRL_B_1818,thr__L,1,1
comp_24,Lysobacter_dokdonensis_DS_58,thr__L,-1,-1
comp_24,Streptomyces_griseoruber_NRRL_B_1818,asn__L,1,1
comp_24,Niabella_ginsenosidivorans_BS26,asn__L,-1,-1
comp_24,Streptomyces_griseoruber_NRRL_B_1818,orn,1,0.3333333333333333
comp_24,Niabella_ginsenosidivorans_BS26,orn,-1,-0.3333333333333333
comp_24,Streptomyces_griseoruber_NRRL_B_1818,pro__L,1,0.6666666666666666
comp_24,Niabella_ginsenosidivorans_BS26,pro__L,-1,-0.6666666666666666
comp_24,Streptomyces_griseoruber_NRRL_B_1818,xtsn,1,1
comp_24,Niabella_ginsenosidivorans_BS26,xtsn,-1,-1
comp_24,Lysobacter_dokdonensis_DS_58,glyc3p,1,0.5
comp_24,Acidovorax_soli_DSM_25157,glyc3p,-1,-0.5
comp_24,Lysobacter_dokdonensis_DS_58,nh4,1,0.5
comp_24,Acidovorax_soli_DSM_25157,nh4,-1,-0.5
comp_24,Streptomyces_griseoruber_NRRL_B_1818,bz,1,0.5
comp_24,Acidovorax_soli_DSM_25157,bz,-1,-0.5
comp_24,Streptomyces_griseoruber_NRRL_B_1818,nh4,1,0.5
comp_24,Acidovorax_soli_DSM_25157,nh4,-1,-0.5
comp_24,Lacunisphaera_limnophila_IG16b,glyc3p,1,0.125
comp_24,Devosia_insulae_DS_56,glyc3p,-1,-0.125
comp_24,Lysobacter_dokdonensis_DS_58,glyc3p,1,1
comp_24,Devosia_insulae_DS_56,glyc3p,-1,-1
comp_24,Lysobacter_dokdonensis_DS_58,met__L,1,1
comp_24,Devosia_insulae_DS_56,met__L,-1,-1
comp_24,Streptomyces_griseoruber_NRRL_B_1818,asn__L,1,1
comp_24,Devosia_insulae_DS_56,asn__L,-1,-1
comp_24,Streptomyces_griseoruber_NRRL_B_1818,glc__D,1,0.5
comp_24,Devosia_insulae_DS_56,glc__D,-1,-0.5
comp_24,Lysobacter_dokdonensis_DS_58,glyc3p,1,0.5
comp_24,Steroidobacter_denitrificans_DSM_18526,glyc3p,-1,-0.5
comp_24,Lysobacter_dokdonensis_DS_58,lys__L,1,0.5
comp_24,Steroidobacter_denitrificans_DSM_18526,lys__L,-1,-0.5
comp_24,Streptomyces_griseoruber_NRRL_B_1818,bz,1,0.5
comp_24,Steroidobacter_denitrificans_DSM_18526,bz,-1,-0.5
comp_24,Streptomyces_griseoruber_NRRL_B_1818,lys__L,1,0.5
comp_24,Steroidobacter_denitrificans_DSM_18526,lys__L,-1,-0.5
comp_24,Lysobacter_dokdonensis_DS_58,nh4,1,0.5
comp_24,Caballeronia_glathei_DSM_50014,nh4,-1,-0.5
comp_24,Streptomyces_griseoruber_NRRL_B_1818,nh4,1,0.5
comp_24,Caballeronia_glathei_DSM_50014,nh4,-1,-0.5
comp_24,Lysobacter_dokdonensis_DS_58,ala__D,1,0.22413793103448276
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,ala__D,-1,-0.22413793103448276
comp_24,Lysobacter_dokdonensis_DS_58,alaala,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,alaala,-1,-0.01724137931034482
comp_24,Lysobacter_dokdonensis_DS_58,arg__L,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,arg__L,-1,-0.01724137931034482
comp_24,Lysobacter_dokdonensis_DS_58,asp__L,1,0.03448275862068965
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,asp__L,-1,-0.03448275862068965
comp_24,Lysobacter_dokdonensis_DS_58,glyc,1,0.10344827586206896
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,glyc,-1,-0.10344827586206896
comp_24,Lysobacter_dokdonensis_DS_58,ile__L,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,ile__L,-1,-0.01724137931034482
comp_24,Lysobacter_dokdonensis_DS_58,lac__D,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,lac__D,-1,-0.01724137931034482
comp_24,Lysobacter_dokdonensis_DS_58,lac__L,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,lac__L,-1,-0.01724137931034482
comp_24,Lysobacter_dokdonensis_DS_58,nh4,1,0.08620689655172414
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,nh4,-1,-0.08620689655172414
comp_24,Lysobacter_dokdonensis_DS_58,xan,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,xan,-1,-0.01724137931034482
comp_24,Streptomyces_griseoruber_NRRL_B_1818,ade,1,0.05172413793103448
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,ade,-1,-0.05172413793103448
comp_24,Streptomyces_griseoruber_NRRL_B_1818,ala__D,1,0.22413793103448276
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,ala__D,-1,-0.22413793103448276
comp_24,Streptomyces_griseoruber_NRRL_B_1818,alaala,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,alaala,-1,-0.01724137931034482
comp_24,Streptomyces_griseoruber_NRRL_B_1818,arg__L,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,arg__L,-1,-0.01724137931034482
comp_24,Streptomyces_griseoruber_NRRL_B_1818,asn__L,1,0.03448275862068965
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,asn__L,-1,-0.03448275862068965
comp_24,Streptomyces_griseoruber_NRRL_B_1818,bz,1,0.03448275862068965
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,bz,-1,-0.03448275862068965
comp_24,Streptomyces_griseoruber_NRRL_B_1818,glc__D,1,0.03448275862068965
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,glc__D,-1,-0.03448275862068965
comp_24,Streptomyces_griseoruber_NRRL_B_1818,glyc,1,0.10344827586206896
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,glyc,-1,-0.10344827586206896
comp_24,Streptomyces_griseoruber_NRRL_B_1818,his__L,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,his__L,-1,-0.01724137931034482
comp_24,Streptomyces_griseoruber_NRRL_B_1818,lac__D,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,lac__D,-1,-0.01724137931034482
comp_24,Streptomyces_griseoruber_NRRL_B_1818,lac__L,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,lac__L,-1,-0.01724137931034482
comp_24,Streptomyces_griseoruber_NRRL_B_1818,mal__L,1,0.03448275862068965
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,mal__L,-1,-0.03448275862068965
comp_24,Streptomyces_griseoruber_NRRL_B_1818,nh4,1,0.08620689655172414
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,nh4,-1,-0.08620689655172414
comp_24,Streptomyces_griseoruber_NRRL_B_1818,pyr,1,0.1896551724137931
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,pyr,-1,-0.1896551724137931
comp_24,Streptomyces_griseoruber_NRRL_B_1818,rib__D,1,0.03448275862068965
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,rib__D,-1,-0.03448275862068965
comp_24,Streptomyces_griseoruber_NRRL_B_1818,thr__L,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,thr__L,-1,-0.01724137931034482
comp_24,Streptomyces_griseoruber_NRRL_B_1818,xan,1,0.01724137931034482
comp_24,Aquincola_tertiaricarbonis_MIMtkpLc11,xan,-1,-0.01724137931034482
comp_25,Bradyrhizobium_neotropicale_BR_10247,acald,1,0.0125
comp_25,Solirubrobacter_soli_DSM_22325,acald,-1,-0.0125
comp_25,Bradyrhizobium_neotropicale_BR_10247,co2,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,co2,-1,-0.0075
comp_25,Bradyrhizobium_neotropicale_BR_10247,etoh,1,0.01
comp_25,Solirubrobacter_soli_DSM_22325,etoh,-1,-0.01
comp_25,Bradyrhizobium_neotropicale_BR_10247,glyc,1,0.045
comp_25,Solirubrobacter_soli_DSM_22325,glyc,-1,-0.045
comp_25,Bradyrhizobium_neotropicale_BR_10247,glyclt,1,0.005
comp_25,Solirubrobacter_soli_DSM_22325,glyclt,-1,-0.005
comp_25,Bradyrhizobium_neotropicale_BR_10247,nh4,1,0.12
comp_25,Solirubrobacter_soli_DSM_22325,nh4,-1,-0.12
comp_25,Hyalangium_minutum_DSM_14724,acald,1,0.0125
comp_25,Solirubrobacter_soli_DSM_22325,acald,-1,-0.0125
comp_25,Hyalangium_minutum_DSM_14724,co2,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,co2,-1,-0.0075
comp_25,Hyalangium_minutum_DSM_14724,etoh,1,0.01
comp_25,Solirubrobacter_soli_DSM_22325,etoh,-1,-0.01
comp_25,Hyalangium_minutum_DSM_14724,glyc,1,0.045
comp_25,Solirubrobacter_soli_DSM_22325,glyc,-1,-0.045
comp_25,Hyalangium_minutum_DSM_14724,nh4,1,0.12
comp_25,Solirubrobacter_soli_DSM_22325,nh4,-1,-0.12
comp_25,Hyalangium_minutum_DSM_14724,ser__D,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,ser__D,-1,-0.0075
comp_25,Bacillus_mycoides_ATCC_6462,4abut,1,0.0775
comp_25,Solirubrobacter_soli_DSM_22325,4abut,-1,-0.0775
comp_25,Bacillus_mycoides_ATCC_6462,acald,1,0.0125
comp_25,Solirubrobacter_soli_DSM_22325,acald,-1,-0.0125
comp_25,Bacillus_mycoides_ATCC_6462,co2,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,co2,-1,-0.0075
comp_25,Bacillus_mycoides_ATCC_6462,etoh,1,0.01
comp_25,Solirubrobacter_soli_DSM_22325,etoh,-1,-0.01
comp_25,Bacillus_mycoides_ATCC_6462,glyc,1,0.045
comp_25,Solirubrobacter_soli_DSM_22325,glyc,-1,-0.045
comp_25,Bacillus_mycoides_ATCC_6462,glyclt,1,0.005
comp_25,Solirubrobacter_soli_DSM_22325,glyclt,-1,-0.005
comp_25,Bacillus_mycoides_ATCC_6462,ile__L,1,0.0025
comp_25,Solirubrobacter_soli_DSM_22325,ile__L,-1,-0.0025
comp_25,Bacillus_mycoides_ATCC_6462,nh4,1,0.12
comp_25,Solirubrobacter_soli_DSM_22325,nh4,-1,-0.12
comp_25,Bacillus_mycoides_ATCC_6462,ptrc,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,ptrc,-1,-0.0075
comp_25,Bacillus_mycoides_ATCC_6462,ser__D,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,ser__D,-1,-0.0075
comp_25,Bacillus_mycoides_ATCC_6462,ser__L,1,0.025
comp_25,Solirubrobacter_soli_DSM_22325,ser__L,-1,-0.025
comp_25,Bacillus_mycoides_ATCC_6462,urea,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,urea,-1,-0.0075
comp_25,Luteimonas_mephitis_DSM_12574,4abut,1,0.0775
comp_25,Solirubrobacter_soli_DSM_22325,4abut,-1,-0.0775
comp_25,Luteimonas_mephitis_DSM_12574,acald,1,0.0125
comp_25,Solirubrobacter_soli_DSM_22325,acald,-1,-0.0125
comp_25,Luteimonas_mephitis_DSM_12574,co2,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,co2,-1,-0.0075
comp_25,Luteimonas_mephitis_DSM_12574,g3pe,1,0.0025
comp_25,Solirubrobacter_soli_DSM_22325,g3pe,-1,-0.0025
comp_25,Luteimonas_mephitis_DSM_12574,ile__L,1,0.0025
comp_25,Solirubrobacter_soli_DSM_22325,ile__L,-1,-0.0025
comp_25,Luteimonas_mephitis_DSM_12574,man1p,1,0.0025
comp_25,Solirubrobacter_soli_DSM_22325,man1p,-1,-0.0025
comp_25,Luteimonas_mephitis_DSM_12574,nh4,1,0.12
comp_25,Solirubrobacter_soli_DSM_22325,nh4,-1,-0.12
comp_25,Luteimonas_mephitis_DSM_12574,urea,1,0.0075
comp_25,Solirubrobacter_soli_DSM_22325,urea,-1,-0.0075
comp_25,Lacunisphaera_limnophila_IG16b,glyc,1,0.1744186046511628
comp_25,Bradyrhizobium_neotropicale_BR_10247,glyc,-1,-0.1744186046511628
comp_25,Lacunisphaera_limnophila_IG16b,nh4,1,0.5813953488372093
comp_25,Bradyrhizobium_neotropicale_BR_10247,nh4,-1,-0.5813953488372093
comp_25,Solirubrobacter_soli_DSM_22325,acald,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.00344234079173838
comp_25,Solirubrobacter_soli_DSM_22325,glyc,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,glyc,-1,-0.00344234079173838
comp_25,Solirubrobacter_soli_DSM_22325,lys__L,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,lys__L,-1,-0.00172117039586919
comp_25,Solirubrobacter_soli_DSM_22325,nh4,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.00172117039586919
comp_25,Solirubrobacter_soli_DSM_22325,ser__D,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,ser__D,-1,-0.00172117039586919
comp_25,Bradyrhizobium_neotropicale_BR_10247,acald,1,0.02409638554216867
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.02409638554216867
comp_25,Bradyrhizobium_neotropicale_BR_10247,cit,1,1
comp_25,Hyalangium_minutum_DSM_14724,cit,-1,-1
comp_25,Bradyrhizobium_neotropicale_BR_10247,glyc,1,0.02409638554216867
comp_25,Hyalangium_minutum_DSM_14724,glyc,-1,-0.02409638554216867
comp_25,Bradyrhizobium_neotropicale_BR_10247,lys__L,1,0.01204819277108433
comp_25,Hyalangium_minutum_DSM_14724,lys__L,-1,-0.01204819277108433
comp_25,Bradyrhizobium_neotropicale_BR_10247,nh4,1,0.01204819277108433
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.01204819277108433
comp_25,Bacillus_mycoides_ATCC_6462,acald,1,0.00917957544463568
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.00917957544463568
comp_25,Bacillus_mycoides_ATCC_6462,ala__L,1,0.10556511761331036
comp_25,Hyalangium_minutum_DSM_14724,ala__L,-1,-0.10556511761331036
comp_25,Bacillus_mycoides_ATCC_6462,glyc,1,0.00917957544463568
comp_25,Hyalangium_minutum_DSM_14724,glyc,-1,-0.00917957544463568
comp_25,Bacillus_mycoides_ATCC_6462,ile__L,1,0.380952380952381
comp_25,Hyalangium_minutum_DSM_14724,ile__L,-1,-0.380952380952381
comp_25,Bacillus_mycoides_ATCC_6462,leu__L,1,0.07802639127940332
comp_25,Hyalangium_minutum_DSM_14724,leu__L,-1,-0.07802639127940332
comp_25,Bacillus_mycoides_ATCC_6462,lys__L,1,0.00458978772231784
comp_25,Hyalangium_minutum_DSM_14724,lys__L,-1,-0.00458978772231784
comp_25,Bacillus_mycoides_ATCC_6462,nh4,1,0.00458978772231784
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.00458978772231784
comp_25,Bacillus_mycoides_ATCC_6462,rib__D,1,0.00458978772231784
comp_25,Hyalangium_minutum_DSM_14724,rib__D,-1,-0.00458978772231784
comp_25,Bacillus_mycoides_ATCC_6462,ser__D,1,0.00458978772231784
comp_25,Hyalangium_minutum_DSM_14724,ser__D,-1,-0.00458978772231784
comp_25,Luteimonas_mephitis_DSM_12574,acald,1,0.00917957544463568
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.00917957544463568
comp_25,Luteimonas_mephitis_DSM_12574,ile__L,1,0.380952380952381
comp_25,Hyalangium_minutum_DSM_14724,ile__L,-1,-0.380952380952381
comp_25,Luteimonas_mephitis_DSM_12574,nh4,1,0.00458978772231784
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.00458978772231784
comp_25,Flavobacterium_succinicans_LMG_10402,acald,1,0.00917957544463568
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.00917957544463568
comp_25,Flavobacterium_succinicans_LMG_10402,glyc,1,0.00917957544463568
comp_25,Hyalangium_minutum_DSM_14724,glyc,-1,-0.00917957544463568
comp_25,Flavobacterium_succinicans_LMG_10402,ile__L,1,0.380952380952381
comp_25,Hyalangium_minutum_DSM_14724,ile__L,-1,-0.380952380952381
comp_25,Flavobacterium_succinicans_LMG_10402,leu__L,1,0.07802639127940332
comp_25,Hyalangium_minutum_DSM_14724,leu__L,-1,-0.07802639127940332
comp_25,Flavobacterium_succinicans_LMG_10402,nh4,1,0.00458978772231784
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.00458978772231784
comp_25,Flavobacterium_succinicans_LMG_10402,ser__D,1,0.00458978772231784
comp_25,Hyalangium_minutum_DSM_14724,ser__D,-1,-0.00458978772231784
comp_25,Rugamonas_rubra_ATCC_43154,4hbz,1,0.01032702237521514
comp_25,Hyalangium_minutum_DSM_14724,4hbz,-1,-0.01032702237521514
comp_25,Rugamonas_rubra_ATCC_43154,acald,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.00344234079173838
comp_25,Rugamonas_rubra_ATCC_43154,glyc,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,glyc,-1,-0.00344234079173838
comp_25,Rugamonas_rubra_ATCC_43154,lys__L,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,lys__L,-1,-0.00172117039586919
comp_25,Rugamonas_rubra_ATCC_43154,nh4,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.00172117039586919
comp_25,Niabella_ginsenosidivorans_BS26,acald,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.00344234079173838
comp_25,Niabella_ginsenosidivorans_BS26,glyc,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,glyc,-1,-0.00344234079173838
comp_25,Niabella_ginsenosidivorans_BS26,lys__L,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,lys__L,-1,-0.00172117039586919
comp_25,Niabella_ginsenosidivorans_BS26,nh4,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.00172117039586919
comp_25,Azohydromonas_australica_DSM_1124,4hbz,1,0.01032702237521514
comp_25,Hyalangium_minutum_DSM_14724,4hbz,-1,-0.01032702237521514
comp_25,Azohydromonas_australica_DSM_1124,acald,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.00344234079173838
comp_25,Azohydromonas_australica_DSM_1124,ala__L,1,0.03958691910499139
comp_25,Hyalangium_minutum_DSM_14724,ala__L,-1,-0.03958691910499139
comp_25,Azohydromonas_australica_DSM_1124,glyc,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,glyc,-1,-0.00344234079173838
comp_25,Azohydromonas_australica_DSM_1124,lys__L,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,lys__L,-1,-0.00172117039586919
comp_25,Azohydromonas_australica_DSM_1124,nh4,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.00172117039586919
comp_25,Azohydromonas_australica_DSM_1124,ser__D,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,ser__D,-1,-0.00172117039586919
comp_25,Lacunisphaera_limnophila_IG16b,acald,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,acald,-1,-0.00344234079173838
comp_25,Lacunisphaera_limnophila_IG16b,glyc,1,0.00344234079173838
comp_25,Hyalangium_minutum_DSM_14724,glyc,-1,-0.00344234079173838
comp_25,Lacunisphaera_limnophila_IG16b,nh4,1,0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,nh4,-1,-0.00172117039586919
comp_25,Hyalangium_minutum_DSM_14724,acald,1,0.2676056338028169
comp_25,Bacillus_mycoides_ATCC_6462,acald,-1,-0.2676056338028169
comp_25,Hyalangium_minutum_DSM_14724,akg,1,0.05633802816901408
comp_25,Bacillus_mycoides_ATCC_6462,akg,-1,-0.05633802816901408
comp_25,Hyalangium_minutum_DSM_14724,ala__D,1,0.02816901408450704
comp_25,Bacillus_mycoides_ATCC_6462,ala__D,-1,-0.02816901408450704
comp_25,Hyalangium_minutum_DSM_14724,ala__L,1,0.5492957746478874
comp_25,Bacillus_mycoides_ATCC_6462,ala__L,-1,-0.5492957746478874
comp_25,Hyalangium_minutum_DSM_14724,gly,1,0.02816901408450704
comp_25,Bacillus_mycoides_ATCC_6462,gly,-1,-0.02816901408450704
comp_25,Hyalangium_minutum_DSM_14724,glyc,1,0.323943661971831
comp_25,Bacillus_mycoides_ATCC_6462,glyc,-1,-0.323943661971831
comp_25,Hyalangium_minutum_DSM_14724,h2s,1,0.01408450704225352
comp_25,Bacillus_mycoides_ATCC_6462,h2s,-1,-0.01408450704225352
comp_25,Hyalangium_minutum_DSM_14724,mal__L,1,0.02816901408450704
comp_25,Bacillus_mycoides_ATCC_6462,mal__L,-1,-0.02816901408450704
comp_25,Hyalangium_minutum_DSM_14724,nh4,1,0.01408450704225352
comp_25,Bacillus_mycoides_ATCC_6462,nh4,-1,-0.01408450704225352
comp_25,Hyalangium_minutum_DSM_14724,ser__D,1,0.01408450704225352
comp_25,Bacillus_mycoides_ATCC_6462,ser__D,-1,-0.01408450704225352
comp_25,Hyalangium_minutum_DSM_14724,uaagmda,1,1
comp_25,Bacillus_mycoides_ATCC_6462,uaagmda,-1,-1
comp_25,Solirubrobacter_soli_DSM_22325,4abut,1,0.00598086124401913
comp_25,Luteimonas_mephitis_DSM_12574,4abut,-1,-0.00598086124401913
comp_25,Solirubrobacter_soli_DSM_22325,acac,1,0.03588516746411482
comp_25,Luteimonas_mephitis_DSM_12574,acac,-1,-0.03588516746411482
comp_25,Solirubrobacter_soli_DSM_22325,acald,1,0.01196172248803827
comp_25,Luteimonas_mephitis_DSM_12574,acald,-1,-0.01196172248803827
comp_25,Solirubrobacter_soli_DSM_22325,fum,1,0.00598086124401913
comp_25,Luteimonas_mephitis_DSM_12574,fum,-1,-0.00598086124401913
comp_25,Solirubrobacter_soli_DSM_22325,his__L,1,0.3409090909090909
comp_25,Luteimonas_mephitis_DSM_12574,his__L,-1,-0.3409090909090909
comp_25,Solirubrobacter_soli_DSM_22325,lys__L,1,0.3409090909090909
comp_25,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.3409090909090909
comp_25,Solirubrobacter_soli_DSM_22325,man1p,1,0.05382775119617224
comp_25,Luteimonas_mephitis_DSM_12574,man1p,-1,-0.05382775119617224
comp_25,Solirubrobacter_soli_DSM_22325,nh4,1,0.02990430622009569
comp_25,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.02990430622009569
comp_25,Solirubrobacter_soli_DSM_22325,orn,1,0.00598086124401913
comp_25,Luteimonas_mephitis_DSM_12574,orn,-1,-0.00598086124401913
comp_25,Bradyrhizobium_neotropicale_BR_10247,acald,1,0.00797448165869218
comp_25,Luteimonas_mephitis_DSM_12574,acald,-1,-0.00797448165869218
comp_25,Bradyrhizobium_neotropicale_BR_10247,fum,1,0.00398724082934609
comp_25,Luteimonas_mephitis_DSM_12574,fum,-1,-0.00398724082934609
comp_25,Bradyrhizobium_neotropicale_BR_10247,lys__L,1,0.2272727272727273
comp_25,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.2272727272727273
comp_25,Bradyrhizobium_neotropicale_BR_10247,nh4,1,0.01993620414673046
comp_25,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.01993620414673046
comp_25,Hyalangium_minutum_DSM_14724,acac,1,0.02392344497607655
comp_25,Luteimonas_mephitis_DSM_12574,acac,-1,-0.02392344497607655
comp_25,Hyalangium_minutum_DSM_14724,acald,1,0.00797448165869218
comp_25,Luteimonas_mephitis_DSM_12574,acald,-1,-0.00797448165869218
comp_25,Hyalangium_minutum_DSM_14724,fum,1,0.00398724082934609
